exp_id,method,seed,phase_1_train_loss,phase_1_eval_loss,phase_2_train_loss,phase_2_eval_loss,final_eval_loss,final_train_loss,generalization_gap,phase_2_delta_eval,summary_path
exp_018_random_only_multiseed_long,Random,13,38.7520263671875,9.615342140197754,38.73663533528646,9.611395835876465,9.611395835876465,38.73663533528646,-29.125239499409993,-0.0039463043212890625,D:\Working\llm-batching-research\experiments\exp_018_random_only_multiseed_long\seed_013\run_summary.json
exp_018_random_only_multiseed_long,Random,21,38.810411580403645,9.615097999572754,38.795363362630205,9.61099624633789,9.61099624633789,38.795363362630205,-29.184367116292314,-0.004101753234863281,D:\Working\llm-batching-research\experiments\exp_018_random_only_multiseed_long\seed_021\run_summary.json
exp_018_random_only_multiseed_long,Random,42,38.764949544270834,9.615248680114746,38.74967041015625,9.611324310302734,9.611324310302734,38.74967041015625,-29.138346099853514,-0.003924369812011719,D:\Working\llm-batching-research\experiments\exp_018_random_only_multiseed_long\seed_042\run_summary.json
exp_019_grouped_only_multiseed_long,Grouped,13,38.76153564453125,9.615320205688477,38.74625142415365,9.61143970489502,9.61143970489502,38.74625142415365,-29.13481171925863,-0.0038805007934570312,D:\Working\llm-batching-research\experiments\exp_019_grouped_only_multiseed_long\seed_013\run_summary.json
exp_019_grouped_only_multiseed_long,Grouped,21,38.7576416015625,9.615422248840332,38.743098958333334,9.611655235290527,9.611655235290527,38.743098958333334,-29.131443723042807,-0.0037670135498046875,D:\Working\llm-batching-research\experiments\exp_019_grouped_only_multiseed_long\seed_021\run_summary.json
exp_019_grouped_only_multiseed_long,Grouped,42,38.693318684895836,9.615363121032715,38.67716979980469,9.611562728881836,9.611562728881836,38.67716979980469,-29.06560707092285,-0.0038003921508789062,D:\Working\llm-batching-research\experiments\exp_019_grouped_only_multiseed_long\seed_042\run_summary.json
exp_020_grouped_to_random_multiseed_long,Grouped→Random,13,38.7621826171875,9.615609169006348,38.73875020345052,9.611956596374512,9.611956596374512,38.73875020345052,-29.12679360707601,-0.0036525726318359375,D:\Working\llm-batching-research\experiments\exp_020_grouped_to_random_multiseed_long\seed_013\run_summary.json
exp_020_grouped_to_random_multiseed_long,Grouped→Random,21,38.75747782389323,9.615407943725586,38.797245279947916,9.611536979675293,9.611536979675293,38.797245279947916,-29.185708300272623,-0.0038709640502929688,D:\Working\llm-batching-research\experiments\exp_020_grouped_to_random_multiseed_long\seed_021\run_summary.json
exp_020_grouped_to_random_multiseed_long,Grouped→Random,42,38.693756103515625,9.615595817565918,38.75216878255208,9.611784934997559,9.611784934997559,38.75216878255208,-29.140383847554524,-0.003810882568359375,D:\Working\llm-batching-research\experiments\exp_020_grouped_to_random_multiseed_long\seed_042\run_summary.json
exp_021_random_to_grouped_multiseed_long,Random→Grouped,13,38.75155029296875,9.615140914916992,38.74618123372396,9.611204147338867,9.611204147338867,38.74618123372396,-29.134977086385092,-0.003936767578125,D:\Working\llm-batching-research\experiments\exp_021_random_to_grouped_multiseed_long\seed_013\run_summary.json
exp_021_random_to_grouped_multiseed_long,Random→Grouped,21,38.8108164469401,9.6152982711792,38.74303690592448,9.611516952514648,9.611516952514648,38.74303690592448,-29.13151995340983,-0.0037813186645507812,D:\Working\llm-batching-research\experiments\exp_021_random_to_grouped_multiseed_long\seed_021\run_summary.json
exp_021_random_to_grouped_multiseed_long,Random→Grouped,42,38.76551208496094,9.615378379821777,38.678053792317705,9.611686706542969,9.611686706542969,38.678053792317705,-29.066367085774736,-0.0036916732788085938,D:\Working\llm-batching-research\experiments\exp_021_random_to_grouped_multiseed_long\seed_042\run_summary.json
