dataset_label,dataset_size,strategy,seed,eval_loss,rouge1,rouge2,rougeL
1K,1000,random,13,2.491051435470581,0.24048353377902376,0.1078602899360381,0.20399759759557395
1K,1000,random,21,2.5587451457977295,0.2520428851924599,0.1121252088983317,0.2144895737675266
1K,1000,random,42,2.5223658084869385,0.22462975528939058,0.09399575102098227,0.19814213989509138
1K,1000,grouped,13,2.4721570014953613,0.24146035624254175,0.10506485546767702,0.20610632610352916
1K,1000,grouped,21,2.532271385192871,0.2664770335092741,0.12107115259712349,0.23045177653678284
1K,1000,grouped,42,2.5428359508514404,0.243353022277491,0.10286648535296489,0.20763116906349346
1K,1000,grouped_to_random,13,2.4787979125976562,0.24690642830278026,0.1055694909388059,0.21090678480415662
1K,1000,grouped_to_random,21,2.5441904067993164,0.26644523904937223,0.1252275117695122,0.22813961302907287
1K,1000,grouped_to_random,42,2.537670850753784,0.25400335323271384,0.11670638806468649,0.21770298391346027
1K,1000,random_to_grouped,13,2.4843380451202393,0.2551986235610062,0.11579284928996696,0.2148988641359129
1K,1000,random_to_grouped,21,2.5481984615325928,0.2491324569919009,0.10832941214779299,0.21253200253332058
1K,1000,random_to_grouped,42,2.5150938034057617,0.2616390026313196,0.11718065908396853,0.23256120055769133
3K,3000,random,13,2.547321081161499,0.24048709029044607,0.11335763570883,0.20450826861497
3K,3000,random,21,2.5062899589538574,0.2369480301266246,0.11471925981957326,0.20253770645674257
3K,3000,random,42,2.543874979019165,0.2203936769500531,0.0935115876308748,0.19016165867954282
3K,3000,grouped,13,2.598040819168091,0.23060933146880827,0.10771807037551791,0.19576519339066034
3K,3000,grouped,21,2.554457902908325,0.23197639302811696,0.1039412339144533,0.19859851756242883
3K,3000,grouped,42,2.528374195098877,0.2606773152760825,0.12543447304918703,0.2191535797106827
3K,3000,grouped_to_random,13,2.595186710357666,0.22787358440916083,0.10332840106895783,0.19101779904510907
3K,3000,grouped_to_random,21,2.5450406074523926,0.24571434604787412,0.11627592263779851,0.20807267621353007
3K,3000,grouped_to_random,42,2.53121280670166,0.24881949864337882,0.11842365304134629,0.21107746575708097
3K,3000,random_to_grouped,13,2.543499231338501,0.24384855842667114,0.12263190519775695,0.20674136851115177
3K,3000,random_to_grouped,21,2.512373924255371,0.22401125461928975,0.10133409676702537,0.19372040944649996
3K,3000,random_to_grouped,42,2.5312235355377197,0.21316340797330582,0.08854220508423376,0.18131271635838922
5K,5000,random,13,2.439267158508301,0.2415856175547039,0.11033874096463578,0.20869595250891557
5K,5000,random,21,2.4953486919403076,0.22660792394399012,0.10351464294764283,0.19823719496252187
5K,5000,random,42,2.4731154441833496,0.24667724445209663,0.11349122154525267,0.21074741934149682
5K,5000,grouped,13,2.46297550201416,0.2437421248000388,0.10885475945247895,0.20909963790361877
5K,5000,grouped,21,2.4870026111602783,0.22624488351662705,0.09793246018144755,0.19587813185980854
5K,5000,grouped,42,2.441622018814087,0.23356154747424074,0.1087300617339237,0.20177070381264461
5K,5000,grouped_to_random,13,2.473144769668579,0.24318529872503702,0.10698014624558093,0.2093342724803788
5K,5000,grouped_to_random,21,2.48687744140625,0.22735412525624643,0.101251019865044,0.1968353545902862
5K,5000,grouped_to_random,42,2.4415342807769775,0.2314394703508972,0.09881347161747855,0.2009535992821731
5K,5000,random_to_grouped,13,2.439056634902954,0.23710192466691704,0.10700404620785844,0.2044410922985132
5K,5000,random_to_grouped,21,2.489382028579712,0.2448952614620415,0.10899489215457736,0.2086821888771537
5K,5000,random_to_grouped,42,2.489917039871216,0.23774261081213213,0.10868945502035844,0.2052360584466181
