dataset_label,dataset_size,strategy,n_seeds,eval_loss_mean,eval_loss_std,rouge1_mean,rouge1_std,rouge2_mean,rouge2_std,rougeL_mean,rougeL_std
1K,1000,random,3,2.5240541299184165,0.03387842125019939,0.23905205808695806,0.013762513025002709,0.1046604166184507,0.009478855556875141,0.20554310375273063,0.008282577528448942
1K,1000,grouped,3,2.515754779179891,0.03812449574959396,0.25043013734310227,0.013929203265294371,0.1096674978059218,0.009936836253958694,0.21472975723460183,0.013636997643057378
1K,1000,grouped_to_random,3,2.5202197233835855,0.036020146575863755,0.2557850068616221,0.009890500421507296,0.11583446359100152,0.009857973166984111,0.2189164605822299,0.00868026418818021
1K,1000,random_to_grouped,3,2.5158767700195312,0.03193740712125056,0.2553233610614089,0.006254205828138445,0.11376764017390949,0.004760488110909526,0.21999735574230828,0.010944777561477777
3K,3000,random,3,2.5324953397115073,0.02275984161816376,0.23260959912237458,0.010726266946190964,0.1071961610530927,0.01187072733095127,0.19906921125041846,0.007776834086377599
3K,3000,grouped,3,2.560290972391764,0.035197700947636676,0.2410876799243359,0.016978886130648706,0.11236459244638608,0.011475297714744103,0.20450576355459063,0.012764239894039357
3K,3000,grouped_to_random,3,2.5571467081705728,0.033661303349633166,0.2408024763668046,0.011303878918303287,0.11267599224936754,0.008166166917754989,0.2033893136719067,0.01081887104420138
3K,3000,random_to_grouped,3,2.5290322303771973,0.01567793191032169,0.22700774033975557,0.01556048873239954,0.10416940234967202,0.017220805200911085,0.1939248314386803,0.012715558534319838
5K,5000,random,3,2.4692437648773193,0.028240520949654638,0.23829026198359687,0.0104325899310428,0.10911486848584376,0.005099649793057368,0.2058935222709781,0.0067094440851649196
5K,5000,grouped,3,2.463866710662842,0.02270341890694913,0.23451618526363552,0.008787597118336014,0.10517242712261674,0.006270305284606981,0.20224949119202398,0.006623743921123258
5K,5000,grouped_to_random,3,2.4671854972839355,0.02325156445228541,0.23399296477739356,0.008218683817336309,0.10234821257603449,0.004192435748358078,0.20237440878427937,0.006369439679969963
5K,5000,random_to_grouped,3,2.472785234451294,0.029211048935115495,0.23991326564703022,0.004326410915500283,0.10822946446093142,0.0010721755369170088,0.206119779874095,0.0022544284682321125
