dataset_label,dataset_size,method,seed,eval_loss,rouge1,rouge2,rougeL
1K,1000,easy_to_hard,13,2.5463874340057373,0.24788356296337088,0.09961880757725597,0.2131632218133409
1K,1000,easy_to_hard,21,2.55964994430542,0.24415270444235765,0.10369798169856936,0.21388154786755464
1K,1000,easy_to_hard,42,2.550811529159546,0.2450806814096491,0.10112117563518506,0.20589516649211448
1K,1000,hard_to_easy,13,2.5283868312835693,0.2222806311746294,0.08805296189013434,0.18712216631891182
1K,1000,hard_to_easy,21,2.49273681640625,0.22855954554255825,0.10115798004610996,0.19190868079375614
1K,1000,hard_to_easy,42,2.540337324142456,0.21312526812330948,0.07702692999100182,0.1800160192418101
3K,3000,easy_to_hard,13,2.622920036315918,0.22329239987798155,0.0969554810016136,0.1942882862197654
3K,3000,easy_to_hard,21,2.5494723320007324,0.21902434523393538,0.09934184635328004,0.19155076704909427
3K,3000,easy_to_hard,42,2.5640738010406494,0.21672509983530694,0.09871927471029553,0.18886747502717804
3K,3000,hard_to_easy,13,2.499361276626587,0.20378792095909126,0.07944930774899821,0.17533951549668952
3K,3000,hard_to_easy,21,2.466581344604492,0.18451190330061978,0.07109915760701424,0.16010796527343749
3K,3000,hard_to_easy,42,2.507028102874756,0.22371667178351468,0.09597266509059545,0.1913554528676991
5K,5000,easy_to_hard,13,2.571593761444092,0.21013105287650935,0.07321358987055197,0.1830834971510017
5K,5000,easy_to_hard,21,2.5255932807922363,0.20367937309767853,0.07541199891131542,0.1791423050444676
5K,5000,easy_to_hard,42,2.473518133163452,0.2127608222292919,0.07519249127884423,0.1875104269284135
5K,5000,hard_to_easy,13,2.545060634613037,0.23717779968482985,0.10291056284869814,0.20214239737647452
5K,5000,hard_to_easy,21,2.4417431354522705,0.19550000669462658,0.08581322915008445,0.17092926159183142
5K,5000,hard_to_easy,42,2.464874029159546,0.24369503744750048,0.10007378197991591,0.2042469745432842
